subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,URL_front,URL_back,comments
58746275,T27,"[['9.0', '.'], ['', '.'], ['', '.']]",2,1,9.0 . .,NA,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_East_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_East_GROW_031.jpeg,
58746278,T3,[['10.7']],1,1,10.7,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_052.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_051.jpeg,
58746283,T3,"[['...', '.'], ['', '.'], ['', '.']]",2,1,... . .,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Deep_GROW_030.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Deep_GROW_029.jpeg,
58746328,T15,"[['6.8-6.9', '6.8,6.9', '6.8,', '6.8-6.9', '6.8,6.9'], ['', '', '6.9', '', '']]",5,1.5,6.8-6.9 6.9,6.8-6.9,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_BigBass_GROW_018.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_BigBass_GROW_017.jpeg,
58746328,T21,"[['7.3-7.5', '7.3,7.5', '7.3,', '7.3-7.5', '7.3,7.5'], ['', '', '7.5', '', '']]",5,1.5,7.3-7.5 7.5,7.3-7.5,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_BigBass_GROW_018.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_BigBass_GROW_017.jpeg,
58746346,T3,[['7.6']],1,1,7.6,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_StHelens_GROW_034.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_StHelens_GROW_033.jpeg,
58746348,T27,[['10.6']],1,1,10.6,NA,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Pup_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Pup_GROW_005.jpeg,
58746353,T21,[['8.7']],1,1,8.7,NA,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_132.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_131.jpeg,
58746353,T33,[['11.9']],1,1,11.9,NA,6th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_132.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_131.jpeg,
58746365,T39,[['13.3-13.5']],1,1,13.3-13.5,NA,7th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Higgins_GROW_582.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Higgins_GROW_581.jpeg,
58746389,T2,[['9']],1,1,9,9,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,Yellowperch is spelled wrong
58746389,T3,[['7.7-10-9']],1,1,7.7-10-9,7.7-10.9,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,T4,[['9.4']],1,1,9.4,9.4,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,T8,[['10']],1,1,10,10,Second row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,T9,[['10.5-12.3']],1,1,10.5-12.3,10.5-12.3,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,T10,[['11.2']],1,1,11.2,11.2,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,T14,[['2']],1,1,2,2,Third row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,T15,[['12.3-13.9']],1,1,12.3-13.9,12.3-13.9,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
