,subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,text,review,
47,63265581,T13,"[['2', '2', '2-5%', '2'], ['to', 'to', '', 'to'], ['5', '5', '', '5'], ['percent', 'percent', '', 'percent']]",4,3,2 to 5 percent,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Cliff_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Cliff_SUMM_006.jpg,Percent shoal,2,5,pct,Yes,
48,63265604,T13,"[['90+%', '90%+', '90+%', '90+%']]",4,3,90+%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Grant_SUMM_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Grant_SUMM_011.jpg,Percent shoal,90,,pct,Yes,
49,63265655,T13,"[['38.2%', '38.2%', '38.2%', '38.2%']]",4,4,38.20%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Swanzy_SUMM_042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Swanzy_SUMM_043.jpg,Percent shoal,38.2,,pct,Yes,
50,63265672,T13,"[['9.5%', '9.5%', '9.5%']]",3,3,9.50%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mason_Long18N_15W_S10_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mason_Long18N_15W_S10_SUMM_012.jpg,Percent shoal,9.5,,pct,Yes,
51,63265689,T13,"[['#1,', '#1', '#1,', '#1.'], ['90%;', '90%;', '90%;', '90%;'], ['#2,', '#2', '#2,', '#2,'], ['100%', '100%', '100%', '100%']]",4,3.25,"#1, 90%; #2, 100%",https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mecosta_Haymarshs_SUMM_038.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mecosta_Haymarshs_SUMM_039.jpg,Percent shoal,90,,pct,Yes,
52,63265703,T13,"[['19.7%', '19.7%', '19.7%', '19.7%']]",4,4,19.70%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Menominee_Ann_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Menominee_Ann_SUMM_010.jpg,Percent shoal,19.7,,pct,Yes,
53,63265714,T13,"[['73.8%', '73.8%', '73.8%', '73.8%']]",4,4,73.80%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Menominee_Sunset_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Menominee_Sunset_SUMM_006.jpg,Percent shoal,73.8,,pct,Yes,
54,63265717,T13,"[['37.6', '37.6', '37.6', '37.6'], ['to', 'to', 'to', 'to'], ['20', ""20'"", '20', '20'], ['ft.', '', 'ft.', 'ft.']]",4,3.5,37.6 to 20 ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_AVALON_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_AVALON_SUMM_0001_2.jpeg,Percent shoal,37.6,,pct,Yes,
55,63265719,T13,"[['49.1%', '49.1%', '49.1%', '49.1%'], ['to', 'to', 'to', 'to'], [""10'"", '10', '10', '10'], ['', 'feet', 'ft.', 'ft.']]",4,3.25,49.1% to 10 ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_ESS_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_ESS_SUMM_0001_2.jpeg,Percent shoal,49.1,,pct,Yes,
56,63265729,T13,"[['About', 'About', 'About', 'About'], ['15', '15', '15', '15-20%'], ['to', 'to', 'to', ''], ['20', '20', '20', '']]",4,3.25,about 15 to 20,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_MCCORMICK_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_MCCORMICK_SUMM_0001_2.jpeg,Percent shoal,15,20,pct,Yes,
57,63265762,T13,"[['About', 'About', 'About', 'About'], ['60', '60', '60%', '60'], ['percent', 'percent', '', 'percent']]",4,3.333333333,about 60 percent,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_BROOKINGS_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_BROOKINGS_SUMM_0001_2.jpeg,Percent shoal,60,,pct,Yes,
58,63265779,T13,"[['15', '15', '', ''], ['to', 'to', '', ''], ['20%', '20%', '15-20%', '15-20%'], ['estimate', 'estimate', 'estimate', 'estimate']]",4,2.5,15 to 20% estimate,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_KIMBALL_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_KIMBALL_SUMM_0001_2.jpeg,Percent shoal,15,20,pct,Yes,
59,63265857,T13,"[['100', '100%', '100', '100%'], ['(80%', '(89%', '(80%', '(80%'], ['between', 'between', 'between', 'between'], ['4', '4', '4', ""4-6'""], ['&', 'and', '&', ''], ['6', '6', '6', ''], ['ft.', 'ft.', 'ft', ''], ['contour)', 'contour', 'contour)', 'contour)']]",4,2.75,100 (80% between 4 & 6 ft. contour),https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Worchester_SUMM_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Worchester_SUMM_015.jpeg,Percent shoal,100,,pct,Yes,
