subject_id,new_key,lakename,county,url_front,url_back,comments,
58687524,28-187,BOARDMAN,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_016.jpg,,
58687525,28-187,BOARDMAN,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_014.jpg,,
58687526,28-101,BOARDMAN,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_018.jpg,2 locations on card 1 one matches ,
58687527,28-187,BOARDMAN,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_036.jpg,,
58687528,28-187,BOARDMAN,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_039.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_040.jpg,,
58687529,28-187,BOARDMAN,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_037.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_038.jpg,,
59071362,63-180,CAMPDEARBORN,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OAKLAND_CAMPDEARBORN1_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OAKLAND_CAMPDEARBORN1_SUMM_0001_2.jpeg,,
59071363,63-179,CAMPDEARBORN,OAKLAND,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OAKLAND_CAMPDEARBORN2_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OAKLAND_CAMPDEARBORN2_SUMM_0001_2.jpeg,,
58688007,65-61,CLEART,OGEMAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_CLEART21NR4ES7_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_CLEART21NR4ES7_SUMM_0001_2.jpeg,,
58688010,65-104,CLEART,OGEMAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_CLEART23NR1ES2_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_CLEART23NR1ES2_SUMM_0001_2.jpeg,,
