subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,URL_front,URL_back,comments
58746357,T45,[['20.7-21.9']],1,1,20.7-21.9,NA,8th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_005.jpeg,
58746357,T46,[['21.3']],1,1,21.3,NA,8th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_005.jpeg,
58746406,T33,"[['18.7', '.'], ['', '.'], ['', '.']]",2,1,18.7 . .,18.7,6th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_142.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_141.jpeg,
58746406,T45,"[['25.3', '.'], ['', '.'], ['', '.']]",2,1,25.3 . .,25.3,8th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_142.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_141.jpeg,
58746408,T33,"[['.'], ['.'], ['.']]",1,1,. . .,19.7,6th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_139.jpeg,
58746408,T45,"[['.'], ['.'], ['.']]",1,1,. . .,23,8th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_139.jpeg,
58746408,T57,"[['.'], ['.'], ['.']]",1,1,. . .,26.8,10th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_139.jpeg,
58746410,T27,"[['16.3', '16.3-16.3', '.'], ['', '', '.'], ['', '', '.']]",3,1,16.3 . .,16.3,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_138.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_137.jpeg,
58746431,T15,"[['.', '22.2'], ['.', ''], ['.', '']]",2,1,. . .,22.2,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Esau_GROW_090.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Esau_GROW_089.jpeg,
58746461,T3,"[['17.1', '-']]",2,1,17.1,17.1,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Ottawa_Macatawa_GROW_224.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Ottawa_Macatawa_GROW_223.jpeg,
58746539,T21,"[['26.1', '...']]",2,1,26.1,26.1,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LittleBear_GROW_060.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LittleBear_GROW_059.jpeg,
