subject_id,begin_date_day,begin_date_month,begin_date_year,end_date_day,end_date_month,end_date_year,review,URL_front,URL_back,comment
58754321,6,November,1991,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Sandhill_GROW_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Sandhill_GROW_017.jpg,
58754339,12,June,1984,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Elk_GROW_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Elk_GROW_017.jpg,
58754343,27,September,1960,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Elk_GROW_050.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Elk_GROW_051.jpg,
58754355,30,September,1992,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Lake Lancer_GROW_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Lake Lancer_GROW_031.jpg,
58754356,12,September,1984,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Pratts_GROW_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Pratts_GROW_022.jpg,
58754374,24,October,1991,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Ross_GROW_172.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Ross_GROW_173.jpg,
58754403,3,September,1960,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wixom_GROW_076.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wixom_GROW_077.jpg,
58754417,21,July,1994,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_BayWest_GROW_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_BayWest_GROW_009.jpg,
58754437,28,August,1962,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_DuckLittle_GROW_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_DuckLittle_GROW_017.jpg,
58754451,11,October,1962,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_Grass_GROW_024.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_Grass_GROW_025.jpg,
