subject_id,data.aligned_text,data.consensus_text,column_name,data,units,URL_front,URL_back
58642806,"[['1.8', '1.8', '1.80', '1.80']]",1.8,First row Mean Length ,1.8,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_014.jpg,
58642806,"[['7.91', '.'], ['', '.'], ['', '.']]",7.91 . .,10th row Length Range ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_014.jpg,
58642808,"[['4.0-4.3', '4.0-4.3', '4.0-4.3', '4.0-4.3', '4.0'], ['', '', '', '', '//'], ['', '', '', '', '4.3']]",4.0-4.3 // 4.3,First row Length Range ,4.0-4.3,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_ChemungLake_GROW_007.jpg,
58642808,"[['5.0-5.4', '5.0-5.4', '5.0-5.4', '5.0-5.4', '5.0'], ['', '', '', '', '//'], ['', '', '', '', '5.4']]",5.0-5.4 // 5.4,Second row Length Range ,5.0-5.4,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_ChemungLake_GROW_007.jpg,
58642808,"[['5.5-5.6', '5.5-5.6', '5.5-5.6', '5.5-5.6', '5.5'], ['', '', '', '', '//'], ['', '', '', '', '5.6']]",5.5-5.6 // 5.6,Third row Length Range ,5.5-5.6,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_ChemungLake_GROW_007.jpg,
58642808,"[['6.6-6.8', '6.6-6.8', '6.6-6.8', '6.6-6.8', '6.6'], ['', '', '', '', '//'], ['', '', '', '', '6.8']]",6.6-6.8 // 6.8,Fourth row Length Range ,6.6-6.8,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_ChemungLake_GROW_007.jpg,
58642808,"[['6.8-7.3', '6.8-7.3', '6.8-7.3', '6.8-7.3', '6.8'], ['', '', '', '', '//'], ['', '', '', '', '7.3']]",6.8-7.3 // 7.3,5th row Length Range ,6.8-7.3,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_ChemungLake_GROW_007.jpg,
58642823,"[['9.9-10.4', '9.7-10.4', '9.7-10.4', '6.6-8.9']]",9.7-10.4,5th row Length Range ,9.7-10.4,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Oscoda_Loon_GROW_20191210112634423_0001.jpeg,
58642823,"[['8', '8', '12']]",8,6th row Number of Fish ,8,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Oscoda_Loon_GROW_20191210112634423_0001.jpeg,
58642823,"[['2.5-3.9', '2.5-3.9', '8.2-9.9']]",2.5-3.9,6th row Length Range ,2.5-3.9,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Oscoda_Loon_GROW_20191210112634423_0001.jpeg,
