"subject_id","methylorange_alk_min_ppm","methylorange_alk_max_ppm","notes"
63265357,NA,NA,NA
63265358,80,NA,NA
63265361,60,62,NA
63265362,95,130,NA
63265363,150,195,NA
63265366,151,156,NA
63265372,103,175,NA
63265376,107,121,NA
63265379,119,170,NA
63265380,181,155,NA
63265381,148,157,NA
63265382,161,194,NA
63265383,139,181,NA
63265386,131,170,NA
63265387,110,155,NA
63265390,88,152,NA
63265391,105,131,NA
63265394,25,26.5,NA
63265400,82,NA,NA
63265402,12,NA,NA
63265405,100,NA,NA
63265409,92,128,NA
63265410,122,130,NA
63265412,17,NA,NA
63265415,72,82.5,NA
63265416,78,89,NA
63265422,32,NA,NA
63265423,104,148,NA
63265424,80,NA,NA
63265427,95,136,NA
63265432,58,61,NA
63265433,130,160,NA
63265434,48,52,NA
63265439,4,NA,NA
63265440,150,160,NA
63265445,135,155,NA
63265448,109,NA,NA
63265449,151,149,NA
63265450,145,159,NA
63265457,NA,NA,NA
63265460,124,159,NA
63265461,200,267,NA
63265463,111,149,NA
63265465,112,137,NA
63265466,97,129,NA
63265467,122,169,NA
63265470,105,159,NA
63265471,124,133,NA
63265472,153.9,188.1,NA
63265473,180,185,NA
63265474,205.1,153.9,NA
63265475,162,238,NA
63265476,126,NA,NA
63265477,119.7,153.9,NA
63265479,168,225,NA
63265480,91,142,NA
63265481,124,187,NA
63265483,112,NA,NA
63265484,125,130,NA
63265485,188.1,256.5,NA
63265486,5,NA,NA
63265487,239.4,256.5,NA
63265488,71,86,NA
63265489,71,86,NA
63265490,222.3,NA,NA
63265492,57,64,NA
63265495,0,6,NA
63265497,6,9,NA
63265498,18,20,NA
63265499,1,2,"purple"
63265501,34.2,NA,NA
63265502,17.1,NA,NA
63265503,0.5,NA,NA
63265505,11,20,NA
63265506,17.1,NA,NA
63265507,43,47,NA
63265512,5,8,NA
63265515,8,10,NA
63265516,17,NA,NA
63265518,3,8,NA
63265522,51,NA,NA
63265523,3.5,18,NA
63265525,13,NA,NA
63265526,4,5,NA
63265527,51.3,NA,NA
63265528,51,34,NA
63265529,6.8,7,NA
63265530,54,NA,NA
63265532,17,NA,NA
63265533,17.1,NA,NA
63265534,17.1,34.2,NA
63265538,34.2,NA,NA
63265539,4,7,NA
63265542,27.4,NA,NA
63265545,17.1,NA,NA
63265546,66,89,NA
63265547,106,NA,NA
63265550,17.1,NA,NA
63265552,56,58,NA
63265553,85.5,NA,NA
63265554,5,NA,NA
63265555,99,225,NA
63265556,60,100,NA
63265558,130,125,NA
63265559,112,130,NA
63265561,59,NA,NA
63265562,119,NA,NA
63265563,129.9,NA,NA
63265565,9,10,NA
63265566,43,44,NA
63265567,110,NA,NA
63265569,24,NA,NA
63265570,12,21,NA
63265572,4,NA,NA
63265573,115,143,NA
63265575,8,NA,NA
63265576,136.8,NA,NA
63265577,77,150,NA
63265579,136.8,NA,NA
63265581,35,NA,NA
63265582,5,6,NA
63265583,0,NA,NA
63265584,44,NA,NA
63265586,NA,NA,NA
63265587,102,133,NA
63265588,115,NA,NA
63265590,132,NA,NA
63265591,8,NA,NA
63265592,81,NA,NA
63265593,10,NA,NA
63265596,15,62,NA
63265597,NA,NA,NA
63265598,34.2,NA,NA
63265599,30,NA,NA
63265600,36,NA,NA
63265601,34,NA,NA
63265602,73,NA,NA
63265605,53,54,NA
63265606,2,3,NA
63265607,85.5,NA,NA
63265608,30,48,NA
63265609,39,NA,NA
63265610,2,19,NA
63265613,6.8,NA,NA
63265614,6.84,NA,NA
63265616,15,NA,NA
63265617,34,57,NA
63265618,70,NA,NA
63265619,2,9,NA
63265621,75,NA,NA
63265622,23,NA,NA
63265624,2,NA,NA
63265625,30,NA,NA
63265626,6,8.5,NA
63265627,67,NA,NA
63265628,19,NA,NA
63265629,120,NA,NA
63265630,43,NA,NA
63265632,0,NA,NA
63265634,6,3,NA
63265635,3,51,NA
63265636,46,NA,NA
63265638,80,115,NA
63265640,13,13,NA
63265642,74,84,NA
63265644,5,NA,NA
63265646,7,10,NA
63265648,25,NA,NA
63265651,118,NA,NA
63265653,9,11,NA
63265654,27,NA,NA
63265655,15,24,NA
63265656,129.96,NA,NA
63265657,31,NA,NA
63265658,19,33,NA
63265659,8,12,NA
63265660,52,54,NA
63265668,110,141,NA
63265669,108,128,NA
63265673,125,204,NA
63265674,32,34,NA
63265675,167,156,NA
63265676,118,167,NA
63265677,34.2,51.3,NA
63265678,37,NA,NA
63265679,94,97,NA
63265680,106,121,NA
63265681,135,NA,NA
63265683,108,166,NA
63265684,110,202,NA
63265685,110,175,NA
63265687,133,149,NA
63265688,91,85,NA
63265689,NA,80,NA
63265690,102,140,NA
63265691,117,141,NA
63265692,102,140,NA
63265693,122,155,NA
63265694,133,132,NA
63265697,104,134,NA
63265699,101,199,NA
63265701,107,158,NA
63265702,35.5,100,NA
63265703,165,193,NA
63265704,130,181,NA
63265706,163,NA,NA
63265707,46,47,NA
63265710,146,NA,NA
63265711,160,157,NA
63265712,0,NA,NA
63265714,162,165,NA
63265716,175,205,NA
63265717,148,118,NA
63265718,56,NA,NA
63265719,131,148,NA
63265720,0,182,NA
63265721,163,NA,NA
63265722,105,128,NA
63265723,110,NA,NA
63265724,80,NA,NA
63265725,140,189,NA
63265726,137,NA,NA
63265727,92,NA,NA
63265728,140,189,NA
63265729,185,206,NA
63265731,182,206,NA
63265732,151,159,NA
63265735,203,205,NA
63265737,150,NA,NA
63265738,69,NA,NA
63265740,46,NA,NA
63265741,117,NA,NA
63265742,54,55,NA
63265744,116,130,NA
63265745,110,129,NA
63265747,92,173,NA
63265750,20,28,NA
63265754,80,90,NA
63265755,33,40,NA
63265757,115,151,NA
63265760,37,NA,NA
63265761,94,95,NA
63265762,109,NA,NA
63265763,83,85,NA
63265766,36,58,NA
63265767,113,139,NA
63265768,131,137,NA
63265769,133,NA,NA
63265770,133,164,NA
63265771,108,146,NA
63265772,137,176,NA
63265773,110,NA,NA
63265774,42,46,NA
63265777,92,131,NA
63265778,85,86,NA
63265779,115,146,NA
63265780,131,135,NA
63265782,105,135,NA
63265783,117,129,NA
63265784,30,33,NA
63265785,114,152,NA
63265787,152,NA,NA
63265791,182,NA,NA
63265796,140,170,NA
63265797,111,135,NA
63265800,146,175,NA
63265804,115,121,NA
63265805,128,167,NA
63265807,176,234,NA
63265808,93,115,NA
63265810,75,109,NA
63265811,161,193,NA
63265812,171,NA,NA
63265814,250,NA,NA
63265816,84,114,NA
63265817,159,NA,NA
63265818,125,154,NA
63265820,109,132,NA
63265822,112,130,NA
63265823,86,NA,NA
63265824,85,NA,NA
63265826,120,122,NA
63265827,49,54,NA
63265831,58,64,NA
63265832,108,NA,NA
63265836,95,154,NA
63265839,85,NA,NA
63265845,207,223,NA
63265846,171,202,NA
63265847,90,NA,NA
63265848,73,105,NA
63265849,141,146,NA
63265851,90,NA,NA
63265853,129,NA,NA
63265855,165,264,NA
63265858,NA,NA,NA
63265859,41,46,"purple"
63265860,119.7,NA,NA
63265863,4,NA,NA
63265864,15,NA,"purple"
63265867,4,5,NA
63265869,4,5,"purple"
63265871,NA,NA,NA
63265872,51.3,85.5,NA
63265873,9,0,NA
63265875,92,105,NA
63265879,6,NA,NA
63265883,55,61,NA
63265885,50,59,NA
63265888,112,NA,NA
63265889,2,NA,"purple"
63265891,10,NA,NA
63265892,26,33,NA
63265893,9,NA,NA
63265895,71,74,NA
63265896,93,134,NA
63265898,12,NA,NA
63265899,3,4,"purple"
63265900,17.1,34.2,NA
63265902,88,NA,NA
63265903,35,NA,NA
63265907,2,4,NA
63265908,2.5,5,NA
63265909,147,NA,"purple"
63265910,102.6,NA,NA
63265911,87,NA,NA
63265912,147,NA,NA
63265913,23,30,NA
63265915,95,110,NA
63265916,87,NA,NA
63265917,133,NA,NA
63265918,45,46,NA
63265921,53,NA,"purple"
63265922,16,NA,"purple"
63265923,34.2,51.3,NA
63265924,3,6,NA
63265925,1,NA,NA
63265926,168,186,NA
63265927,47,NA,NA
63265931,102,124,NA
63265933,85.5,NA,NA
63265934,23,38,NA
63265936,152,150,NA
63265938,130,NA,NA
63265939,125,129,NA
63265941,135,127,NA
63265942,115,NA,NA
63265944,165,NA,NA
63265945,120,170,NA
63265946,91,167,NA
63265947,128,164,NA
63265948,48,NA,NA
63265950,13,25,NA
63265951,5,NA,NA
63265952,5,NA,NA
63265953,145,NA,NA
63265954,106,NA,NA
63265955,117,138,NA
63265956,35,NA,NA
63265957,70,NA,NA
63265958,117,138,NA
63265960,93,100,NA
63265961,147,163,NA
63265962,106,116,NA
63265965,142,151,NA
63265966,45,97,NA
63265968,123,180,NA
63265969,107,148,NA
63265970,136,167,NA
63265971,112,139,NA
63265972,82,85,NA
63265973,111,167,NA
63265974,92,111,NA
63265976,112,117,NA
63265977,126,127,NA
63265978,97,113,NA
63265979,102,172,NA
63265980,97,113,NA
63265981,102,172,NA
63265982,114,162,NA
63265984,200,203,NA
63265985,65,NA,NA
63265986,137,147,NA
63265987,137,147,NA
63265988,220,180,NA
63265993,160,198,NA
63265996,1,8,NA
63265999,143,199,NA
63266001,140,150,NA
63266002,48,57,NA
63266003,140,NA,NA
63266007,45,51,NA
63266009,173,NA,NA
63266010,146,229,NA
63266011,199,249,NA
63266013,110,142,NA
63266014,128,162,NA
63266015,41,62,NA
63266016,122,140,NA
63266017,54,NA,NA
63266018,64,67,NA
63266020,64,67,NA
63266021,153,259,NA
63266022,175,NA,NA
63266024,124,188,NA
63266026,173,NA,NA
63266028,88,120,NA
63266029,71.5,105,NA
63266032,197,NA,NA
63266033,92,124,NA
63266035,190,NA,NA
63266037,121,167,NA
63266039,119,150,NA
63266040,129,NA,NA
63266042,127,185,NA
63266043,105,160,NA
63266044,108,130,NA
63266045,115,119,NA
63266047,184,202,NA
63266050,165,195,NA
63266052,184,202,NA
63266054,161,185,NA
63266055,157,NA,NA
63266057,118,161,NA
63266058,132,188,NA
63266059,196,202,NA
63266060,160,247,NA
63266065,144,176,NA
63266066,188.1,205.2,NA
63266070,108,NA,NA
63266071,64,75,NA
63266073,85,95,NA
63266076,10,31,NA
63266079,76,81,NA
63266082,60,67,NA
63264307,158,162,NA
63264318,157,178,NA
63264325,149,150,NA
63264326,141,143,NA
63264328,152,190,NA
63264335,73,76,NA
63264354,138,162,NA
63264356,110,129,NA
63264359,110,129,NA
63264360,110,129,NA
63264361,110,129,NA
63264363,110,129,NA
63264381,0,1,NA
63264390,85,115,NA
63264392,33,52,NA
63264399,NA,NA,NA
63264403,35,38,NA
63264420,130,170,NA
63264426,119,171,NA
63264428,180,220,NA
63264437,165,170,NA
63264447,14,18,NA
63264484,0,6.8,NA
63264505,0,17,NA
