"subject_id","resorts_min_n","liveries_min_n","cottages_min_n","hotels_homes_min_n","resorts_max_n","liveries_max_n","cottages_max_n","hotels_homes_max_n"
63264639,0,0,1,0,NA,NA,NA,NA
63264640,0,0,0,0,NA,NA,NA,NA
63264641,NA,NA,NA,NA,NA,NA,NA,NA
63264642,1,2,106,0,NA,NA,NA,NA
63264643,2,4,130,0,NA,NA,NA,NA
63264644,2,3,107,0,NA,NA,NA,NA
63264645,1,1,20,0,NA,NA,NA,NA
63264646,0,0,10,0,NA,NA,NA,NA
63264647,0,0,14,0,NA,NA,NA,NA
63264648,0,1,2,0,NA,NA,NA,NA
63264649,2,2,75,0,NA,NA,NA,NA
63264650,1,1,15,0,NA,NA,NA,NA
63264651,0,0,12,0,NA,NA,NA,NA
63264652,0,0,150,0,NA,NA,NA,NA
63264653,11,11,300,0,NA,NA,NA,NA
63264654,2,1,11,0,NA,NA,NA,NA
63264655,4,4,77,0,NA,NA,NA,NA
63264656,0,0,14,0,NA,NA,NA,NA
63264657,1,0,75,0,NA,NA,NA,NA
63264658,0,0,4,0,NA,NA,NA,NA
63264659,3,3,366,0,NA,NA,NA,NA
63264660,0,0,0,0,NA,NA,NA,NA
63264661,0,0,4,0,NA,NA,NA,NA
63264663,0,0,0,0,NA,NA,NA,NA
63264664,1,1,10,0,NA,NA,NA,NA
63264665,0,0,16,0,NA,NA,NA,NA
63264666,NA,NA,2,NA,NA,NA,NA,NA
63264667,NA,NA,1,NA,NA,NA,NA,NA
63264669,0,0,0,0,NA,NA,NA,NA
63264671,1,0,1,0,NA,NA,NA,NA
63264672,0,0,3,0,NA,NA,NA,NA
63264673,0,0,0,0,NA,NA,NA,NA
63264674,NA,NA,1,NA,NA,NA,NA,NA
63264675,NA,NA,7,NA,NA,NA,NA,NA
63264676,3,0,15,0,NA,NA,NA,NA
63264677,NA,NA,12,NA,NA,NA,NA,NA
63264678,NA,NA,7,NA,NA,NA,NA,NA
63264679,NA,NA,15,NA,NA,NA,NA,NA
63264680,NA,NA,5,NA,NA,NA,NA,NA
63264681,0,0,3,0,NA,NA,NA,NA
63264682,NA,NA,2,NA,NA,NA,NA,NA
63264683,NA,NA,1,NA,NA,NA,NA,NA
63264684,0,0,6,0,NA,NA,NA,NA
63264685,0,0,0,0,NA,NA,NA,NA
63264687,0,0,0,0,NA,NA,NA,NA
63264688,3,3,15,0,NA,NA,NA,NA
63264689,NA,NA,4,NA,NA,NA,NA,NA
63264690,0,0,50,0,NA,NA,NA,NA
63264692,0,0,1,0,NA,NA,NA,NA
63264693,NA,NA,0,NA,NA,NA,NA,NA
