"subject_id","thermocline_loc_min_m","thermocline_loc_max_m","flag_bottom","thermocline_present"
63265660,3.657,6.4,NA,"yes"
63265661,NA,NA,NA,NA
63265663,NA,NA,NA,NA
63265667,7.62,NA,NA,NA
63265673,1.829,6.4,NA,"yes"
63265674,4.267,5.181,NA,NA
63265675,2.286,5.334,NA,NA
63265680,9.753,10.667,NA,"yes"
63265683,2.743,8.229,NA,"yes"
63265687,2.286,6.858,NA,NA
63265688,3.048,6.096,NA,"yes"
63265690,2.133,5.486,NA,"yes"
63265692,2.743,6.4,NA,"yes"
63265693,3.048,4.572,NA,"yes"
63265695,1.829,6.4,NA,"yes"
63265701,2.743,6.4,NA,"yes"
63265702,5.334,7.315,"yes",NA
63265703,1.219,4.572,NA,"yes"
63265708,NA,NA,NA,"no"
63265711,NA,NA,NA,"no"
63265712,NA,NA,NA,NA
63265717,10.972,14.63,NA,"yes"
63265719,7.315,10.972,NA,"yes"
63265720,4.572,9.144,NA,"yes"
63265722,NA,NA,NA,"no"
63265724,5.486,8.534,NA,"yes"
63265725,9.144,12.191,NA,NA
63265726,3.657,5.181,NA,"yes"
63265728,9.144,12.191,NA,NA
63265729,3.048,NA,NA,NA
63265731,2.743,5.486,NA,"yes"
63265732,6.096,7.62,NA,"yes"
63265737,NA,NA,NA,"yes"
63265739,NA,NA,NA,"yes"
63265741,4.877,5.791,NA,"yes"
63265742,NA,NA,NA,NA
63265744,3.962,7.315,NA,NA
63265745,3.81,8.382,NA,NA
63265747,3.81,8.382,NA,NA
63265750,6.858,8.382,NA,NA
63265755,7.62,13.715,NA,NA
63265758,4.572,NA,"yes","yes"
63265760,NA,NA,NA,"no"
63265761,2.743,3.657,NA,"yes"
63265762,6.096,10.667,NA,NA
63265763,6.096,9.753,NA,"yes"
63265767,5.486,9.144,NA,"yes"
63265771,4.877,9.144,NA,"yes"
63265772,6.096,9.144,NA,NA
63265773,NA,NA,NA,"no"
63265774,3.962,6.096,NA,NA
63265779,4.572,8.229,NA,"yes"
63265783,4.572,9.144,NA,"yes"
63265785,6.096,10.667,NA,NA
63265788,3.657,5.486,NA,"yes"
63265792,2.743,5.486,NA,NA
63265794,4.267,9.144,NA,"yes"
63265796,4.267,6.096,NA,"yes"
63265797,7.924,12.191,NA,"yes"
63265801,3.048,4.572,NA,"yes"
63265806,5.181,9.144,NA,"yes"
63265807,3.962,7.924,NA,"yes"
