"subject_id","min_shoal_pct","max_shoal_pct"
63265958,40,NA
63265959,100,NA
63265964,3,NA
63265965,10,NA
63265968,45,NA
63265969,10,NA
63265970,30,NA
63265971,35,NA
63265972,79,NA
63265973,65,NA
63265974,30,NA
63265976,45,NA
63265977,100,NA
63265978,80,NA
63265979,50,NA
63265980,80,NA
63265981,50,NA
63265983,30,NA
63265984,100,NA
63265985,100,NA
63265988,20,NA
63265989,25,NA
63265991,100,NA
63265993,10,NA
63265995,10,NA
63265996,100,NA
63265997,75,NA
63265998,60,NA
63265999,20,NA
63266000,10,NA
63266001,85,NA
63266002,20,NA
63266003,35,NA
63266006,15,NA
63266007,100,NA
63266009,25,NA
63266010,20,NA
63266011,35,NA
63266013,30,NA
63266014,65,NA
63266015,30,NA
63266018,100,NA
63266019,20,NA
63266020,100,NA
63266021,15,NA
63266023,NA,NA
63266024,40,NA
63266026,100,NA
63266027,40,NA
63266031,95,NA
63266032,20,NA
63266037,50,NA
63266038,62,NA
63266039,35,NA
63266042,100,NA
63266043,40,NA
63266044,95,NA
63266045,95,NA
63266046,60,NA
63266049,100,NA
63266050,50,NA
63266051,100,NA
63266054,75,NA
63266055,100,NA
63266056,100,NA
63266058,40,NA
63266060,57,NA
63266063,98,NA
63266065,98,NA
63266066,50,NA
63266067,100,NA
63266069,100,NA
63266071,80,NA
63266073,47,NA
63266075,100,NA
63266076,40,NA
63266077,100,NA
63266078,100,NA
63266079,20,NA
63266081,100,NA
63264320,90,NA
63264323,100,NA
63264325,32,NA
63264356,5,10
63264359,5,10
63264360,5,10
63264361,5,10
63264362,5,10
63264363,5,10
63264367,10,15
63264374,15,20
63264377,80,NA
63264420,NA,NA
63264448,75,85
63264450,60,NA
63264456,90,NA
63264483,100,NA
63264484,90,NA
63264486,40,NA
63264518,50,NA
63264527,95,NA
63264548,NA,NA
63264558,41.6,NA
63264567,30,NA
63264576,NA,NA
63264597,30,NA
63264617,100,NA
63264621,20,NA
63264622,NA,NA
63264639,NA,NA
63264644,15,NA
63264679,NA,NA
63264711,100,NA
63264715,100,NA
63264746,20,NA
63264779,35,NA
63264782,25,NA
63264796,10,NA
63264799,25,NA
63264812,55,60
63264817,25,NA
63264822,70,NA
63264825,NA,NA
63264835,70,NA
63264847,55,NA
63264852,NA,NA
63264864,58.6,NA
63264866,100,NA
63264874,10,NA
63264878,NA,NA
63264897,60,NA
63264901,100,NA
63264902,10,20
63264909,25,30
63264931,100,NA
63264932,58.24,NA
63264947,5,NA
63264969,35,40
63264985,36,NA
63265016,25,30
63265017,60,NA
63265020,100,NA
63265024,44,NA
63265037,100,NA
63265042,NA,NA
63265057,100,NA
63265062,100,NA
63265098,100,NA
63265108,100,NA
63265118,80,NA
63265138,60,70
63265139,100,NA
63265147,NA,NA
63265166,5,8
63265169,NA,NA
63265185,10,15
63265202,75,NA
63265225,60,NA
63265230,10,NA
63265232,100,NA
63265239,30,NA
63265282,20,NA
63265301,35,NA
63265307,20,NA
63265309,50,NA
63265313,25,NA
63265335,100,NA
63265346,NA,NA
63265355,95,NA
63265357,NA,NA
63265376,35,NA
63265379,25,NA
63265380,25,NA
63265436,NA,NA
63265449,44,NA
63265450,35,NA
63265468,NA,NA
63265473,25,NA
63265509,80,NA
63265516,20,NA
63265543,100,NA
63265554,38.71,NA
63265563,90,NA
63265573,100,NA
63265607,95,NA
63265632,NA,NA
63265708,NA,NA
63265715,NA,NA
63265723,95,NA
63265727,NA,NA
63265769,20,NA
63265798,NA,NA
63265824,75,NA
63265829,NA,NA
63265848,79,NA
63265851,100,NA
63265861,95,100
63265864,75,NA
63265867,30,NA
63265902,10,NA
63265904,70,NA
63265921,100,NA
63265939,80,NA
63265943,10,15
63265950,NA,NA
63265954,100,NA
63265966,20,25
63265982,10,NA
63266017,100,NA
63266028,30,NA
63266047,100,NA
63266061,NA,NA
63266070,95,NA
63266082,90,NA
63264340,30,40
63264342,25,NA
63264383,100,NA
63264438,75,NA
63264449,75,NA
63264501,66.67,NA
63264541,35,45
63264552,40,50
63264655,99.5,NA
63264658,70,NA
63264690,20,25
63264718,15,NA
63264814,55,60
63264820,55,NA
63264871,30,NA
63264890,10,NA
63264899,19.5,NA
63264906,25,35
63264921,19.5,NA
63264926,100,NA
63264935,19.7,NA
63264936,76.1,NA
63264938,34,NA
63264941,55.7,NA
63264970,45.7,NA
63264975,76.1,NA
63264978,64.3,NA
63264981,23.3,NA
63264984,39.9,NA
63265004,5,10
63265040,100,NA
63265050,10,15
63265065,41.2,NA
63265129,10,15
63265226,80,85
63265250,NA,NA
63265254,NA,NA
63265280,10,NA
63265288,90,NA
63265365,NA,NA
63265393,10,NA
63265434,58.6,NA
63265467,NA,NA
63265498,100,NA
63265507,18,NA
63265559,19.5,NA
63265581,2,5
63265604,90,NA
63265655,38.2,NA
63265672,9.5,NA
63265689,90,NA
63265703,19.7,NA
63265714,73.8,NA
63265717,37.6,NA
63265719,49.1,NA
63265729,15,20
63265762,60,NA
63265779,15,20
63265857,100,NA
63265892,20,25
63265896,15,20
63265907,42.8,NA
63265925,50,NA
63265929,2.5,2.7
63265961,10,15
63265975,41.2,NA
63265986,10,15
63265987,10,15
63266033,10,NA
63266041,100,NA
63266052,100,NA
63266059,100,60
63266068,100,NA
