subject_id,subject_set_id,metadata,T6,T8,T9,T10,T12,county,lakename,New_Key
58687244,93230,"{""id"":""Alcona_Jewell_SUMM_20200129142627943_0001.jpg_Alcona_Jewell_SUMM_20200129142627943_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Jewell_SUMM_20200129142627943_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Jewell_SUMM_20200129142627943_0002.jpg""}",,26N N.,7E E.,"4,5 5, 32, 33",F.P. P.,Alcona,JEWELL,1-99
58687245,93230,"{""id"":""Alcona_Hubbard_SUMM_Doc0816.jpg_Alcona_Hubbard_SUMM_Doc0817.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0816.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0817.jpg""}","Aug. 26-Sept. 7, 1942","27, 28N","7, 8E","1-3, 3, 4, 9, 10, 12-16, 21-27, 34-35, 19, 19-30","R.D. D. Van Deusen, Pat Galvin, Stanley Lievense, and L.E. E. Perry",Alcona,HUBBARD,1-165
58687246,93230,"{""id"":""Alcona_Hubbard_SUMM_Doc1181.jpg_Alcona_Hubbard_SUMM_Doc1182.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc1181.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc1182.jpg""}",,28N,7E,Caledonia,,Alcona,HUBBARD,1-165
58687247,93230,"{""id"":""Alcona_Clear_SUMM_20191125105850178_0001.jpg_Alcona_Clear_SUMM_20191125105850178_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Clear_SUMM_20191125105850178_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Clear_SUMM_20191125105850178_0002.jpg""}",Prepared 7/19/37,26N,6E,"19-20, 29-30",F. P.,Alcona,CLEAR,1-83
58687248,93230,"{""id"":""Alcona_Hubbard_SUMM_20200129141656326_0001.jpg_Alcona_Hubbard_SUMM_20200129141656326_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0002.jpg""}",,"27, N, 28N N","7, E, 8 E","1-3, 2, 3, 4, 9, 10, 12-16, 21-27, 34-36, 19, 30","R. D. Van Deusen, Pat Galvin, Stanley Lievense, and L. E. Perry",Alcona,HUBBARD,1-165
58687249,93230,"{""id"":""Alcona_North_SUMM_20200129143705919_0001.jpg_Alcona_North_SUMM_20200129143705919_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_North_SUMM_20200129143705919_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_North_SUMM_20200129143705919_0002.jpg""}",,25N,6E,"10,15 15",J. H. Claridge,Alcona,NORTH,1-16
58687250,93230,"{""id"":""Alcona_Vaughn_SUMM_20200129151605368_0001.jpg_Alcona_Vaughn_SUMM_20200129151605368_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129151605368_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129151605368_0002.jpg""}",,25N,6E,"20,21,28,29 21, 28, 29",J. H. Claridge,Alcona,VAUGHN,1-29
58687251,93230,"{""id"":""Alcona_Vaughn_SUMM_20200129152856338_0005.jpg_Alcona_Vaughn_SUMM_20200129152856338_0006.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0005.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0006.jpg""}",,25N,6E,"20, 21, 28, 29",H. S. Telford,Alcona,VAUGHN,1-29
58687252,93230,"{""id"":""Alger_Cook_SUMM_20200130135115726_0001.jpg_Alger_Cook_SUMM_20200130135115726_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Cook_SUMM_20200130135115726_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Cook_SUMM_20200130135115726_0002.jpg""}",,44 & 45N N,20W W,"2, 3, 34, & 35",prepared by C. Long Dist. Fisheries Supervisor,Alger,COOK,2-95
58687253,93230,"{""id"":""Alger_Beaver_SUMM_20200129155440605_0001.jpg_Alger_Beaver_SUMM_20200129155440605_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0002.jpg""}",,48N,16W,"5,7,8,9,17,18",M. Galbraith - IFR,Alger,BEAVER,2-720
