subject_id,Filename,Reason for Removal,Removed?
58755279,Washtenaw_CedarBig_GROW_20200218120329658_0017.jpg,duplicate,
58755280,Washtenaw_Crooked2_GROW_20200218130751801_0049.jpeg,duplicate,
58755281,Washtenaw_Deaad2_GROW_20200218133112870_0029.jpeg,duplicate,
58755283,Washtenaw_FourMile_GROW_20200218145552170_0012.jpeg,duplicate,
58755286,Washtenaw_FourMile_GROW_20200218145552170_0014.jpeg,duplicate,
58755287,Washtenaw_FourMile_GROW_20200218145552170_0024.jpeg,duplicate,
58755288,Washtenaw_Geddes_GROW_20200224114400057_0013.jpeg,duplicate,
58755289,Washtenaw_FourMile_GROW_20200218145552170_0028.jpeg,duplicate,
58755290,Washtenaw_FourMile_GROW_20200218145552170_0046.jpg,duplicate,
58755291,Washtenaw_Geddes_GROW_20200224114400057_0025.jpeg,duplicate,
58755292,Washtenaw_Gorman_GROW_20200224115403586_0005.jpeg,duplicate,
58755293,Washtenaw_Green_81-46_1988_GROW_001_01.jpg,duplicate,
58755294,Washtenaw_Horseshoe_GROW_20200224134848447_0001.jpeg,duplicate,
58755296,Washtenaw_Horseshoe_GROW_20200224134848447_0067.jpeg,duplicate,
58755298,Washtenaw_Horseshoe_GROW_20200224134848447_0069.jpeg,duplicate,
58755299,Washtenaw_Horseshoe_GROW_20200224134848447_0079.jpeg,duplicate,
58755300,Washtenaw_Independence_GROW_20200224135941575_0012.jpeg,duplicate,
58755301,Washtenaw_Horseshoe_GROW_20200224134848447_0094.jpg,duplicate,
58755302,Washtenaw_Horseshoe_GROW_20200224134848447_0088.jpeg,duplicate,
58755303,Washtenaw_Horseshoe_GROW_20200224134848447_0092.jpeg,duplicate,
58755304,Washtenaw_Joslin_GROW_20200225125514132_0012.jpeg,duplicate,
58755305,Washtenaw_Island_GROW_20191211141438517_0003.jpg,duplicate,
58755306,Washtenaw_Joslin_GROW_20200225125514132_0048.jpeg,duplicate,
58755307,Washtenaw_Joslin_GROW_20200225125514132_0046.jpeg,duplicate,
