"new_key","lat_dd","long_dd","mdnrid","nhdid"
"14-10",42.05397,-85.81206,"L25500","155636504"
"14-103",41.99554,-86.21315,"L25047","155637012"
"14-11",42.02554,-85.76315,"L26697","155636611"
"14-115",41.98027,-85.80009,"L31964","155636900"
"14-117",41.9761,-85.81259,"L31039","155636975"
"14-12",42.01228,-85.85686,"L31135","155636733"
"14-13",42.01665,-85.85454,"L25672","155636702"
"14-138",41.96332,-85.77009,"L24640","155637028"
"14-14",42.02162,-85.84937,"L26286","155636665"
"14-153",41.92888,-85.87898,"L27079","155637338"
"14-154",41.93888,-85.88065,"L30488","155637285"
"14-155",41.92843,-85.84255,"L24087","155637304"
"14-158",41.9286,-85.76648,"L29584","155637283"
"14-16",41.99777,-85.76565,"L29585","155636767"
"14-162",41.91783,-85.79233,"L31716","155637353"
"14-169",41.9166,-85.82582,"L23079","b6f41672-4773-4805-a091-091169db671d"
"14-17",42.00082,-85.80398,"L30757","155636794"
"14-170",41.91638,-85.8412,"L30188","155637392"
"14-171",41.91443,-85.84898,"L26413","155637415"
"14-180",41.9061,-85.87426,"L29994","155637450"
"14-182",41.89971,-85.83676,"L30061","155637473"
"14-187",41.89415,-85.80676,"L26349","155637472"
"14-188",41.90721,-85.80037,"L30966","155637423"
"14-193",41.97027,-85.88342,"L27976","155637046"
"14-195",41.9721,-85.93262,"L30545","155637057"
"14-2",42.0636,-85.8062,"L30831","155636464"
"14-21",42.00582,-85.85426,"L26928","155636762"
"14-223",41.90249,-85.98065,"L30618","155637503"
"14-224",41.90693,-85.89287,"L26935","155637449"
"14-225",41.97693,-86.01898,"L28429","155637039"
"14-232",41.95277,-86.02648,"L28970","155637301"
"14-252.1",41.90443,-86.01759,"L28708","155637495"
"14-254",41.94304,-86.20509,"L26860","155637405"
"14-256",41.93303,-86.17681,"L29725","639d699e-2076-4c68-97b5-fddc999cc3ca"
"14-261",41.89979,-86.14545,"L31970","155637615"
"14-264",41.881,-85.77157,"L30555","155637541"
"14-271",41.89138,-85.83148,"L30418","b3ae4f34-2e31-4ead-8b37-b85bccc072d9"
"14-273",41.89443,-85.85342,"L31622","155637502"
"14-274",41.87554,-85.85509,"L29126","155637595"
"14-276",41.87163,-85.86332,"L28564","155637654"
"14-277",41.87249,-85.8387,"L23588","155637642"
"14-279",41.87098,-85.82041,"L27809","155637619"
"14-284",41.85749,-85.77176,"L25059","155637686"
"14-285",41.85693,-85.7787,"L30334","155637703"
"14-287",41.86591,-85.82605,"L23029","eca22997-7d8d-4c63-adb6-5252ef89b294"
"14-289",41.84332,-85.86287,"L29930","155637911"
"14-29",41.99593,-85.85008,"L27821","155636828"
"14-290",41.83582,-85.8312,"L26229","155637866"
"14-291",41.82221,-85.8212,"L23032","155637948"
"14-292",41.82582,-85.85176,"L30117","155637926"
"14-299",41.89027,-85.90787,"L27826","155637548"
"14-302",41.86471,-85.98759,"L24563","155637737"
"14-309",41.85777,-85.8937,"L27441","155637745"
"14-31",41.98471,-85.81954,"L26561","155636863"
"14-310",41.85165,-85.89204,"L26346","155637794"
"14-311",41.85221,-85.94037,"L25739","155637816"
"14-313",41.85915,-85.97676,"L26781","155637797"
"14-314",41.8586,-85.98287,"L29860","155637792"
"14-315",41.85054,-85.92731,"L30626","155637828"
"14-316",41.84999,-85.91676,"L29800","155637822"
"14-317",41.84971,-85.90176,"L23144","155637810"
"14-33",41.98847,-85.78363,"L23206","155636829"
"14-333",41.87138,-86.0587,"L31778","155637720"
