subject_id,workflow_id,subject_set_id,Full Subject Set Name,filename_1,filename_2,url_1,url_2,Notes
58746602,17771,93238,SS1 - GROW Double - B First,Otsego_Big_GROW_040.jpeg,Otsego_Big_GROW_039.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_040.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_039.jpeg,"duplicate
"
59687923,17771,93838,SS2 - GROW Double - B First,Otsego_Big_GROW_040.jpeg,Otsego_Big_GROW_039.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_040.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Big_GROW_039.jpeg,"duplicate
"
58746601,17771,93238,SS1 - GROW Double - B First,Otsego_Bradford_GROW_002.jpeg,Otsego_Bradford_GROW_001.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_001.jpeg,"duplicate
"
59687921,17771,93838,SS2 - GROW Double - B First,Otsego_Bradford_GROW_002.jpeg,Otsego_Bradford_GROW_001.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_001.jpeg,"duplicate
"
58746600,17771,93238,SS1 - GROW Double - B First,Otsego_Bradford_GROW_006.jpeg,Otsego_Bradford_GROW_005.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_005.jpeg,"duplicate
"
59687922,17771,93838,SS2 - GROW Double - B First,Otsego_Bradford_GROW_006.jpeg,Otsego_Bradford_GROW_005.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_005.jpeg,"duplicate
"
58746598,17771,93238,SS1 - GROW Double - B First,Otsego_Bradford_GROW_008.jpeg,Otsego_Bradford_GROW_007.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_008.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_007.jpeg,"duplicate
"
59687924,17771,93838,SS2 - GROW Double - B First,Otsego_Bradford_GROW_008.jpeg,Otsego_Bradford_GROW_007.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_008.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_007.jpeg,"duplicate
"
58746595,17771,93238,SS1 - GROW Double - B First,Otsego_Bradford_GROW_010.jpeg,Otsego_Bradford_GROW_009.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_010.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_009.jpeg,"duplicate
"
59687919,17771,93838,SS2 - GROW Double - B First,Otsego_Bradford_GROW_010.jpeg,Otsego_Bradford_GROW_009.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_010.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_009.jpeg,"duplicate
"
58746599,17771,93238,SS1 - GROW Double - B First,Otsego_Bradford_GROW_012.jpeg,Otsego_Bradford_GROW_011.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_011.jpeg,"duplicate
"
59687918,17771,93838,SS2 - GROW Double - B First,Otsego_Bradford_GROW_012.jpeg,Otsego_Bradford_GROW_011.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bradford_GROW_011.jpeg,"duplicate
"
58746597,17771,93238,SS1 - GROW Double - B First,Otsego_Bridge_GROW_004.jpeg,Otsego_Bridge_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_003.jpeg,"duplicate
"
59687916,17771,93838,SS2 - GROW Double - B First,Otsego_Bridge_GROW_004.jpeg,Otsego_Bridge_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bridge_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bridge_GROW_003.jpeg,"duplicate
"
58746596,17771,93238,SS1 - GROW Double - B First,Otsego_Bridge_GROW_012.jpeg,Otsego_Bridge_GROW_011.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_011.jpeg,"duplicate
"
59687917,17771,93838,SS2 - GROW Double - B First,Otsego_Bridge_GROW_012.jpeg,Otsego_Bridge_GROW_011.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bridge_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bridge_GROW_011.jpeg,"duplicate
"
58746594,17771,93238,SS1 - GROW Double - B First,Otsego_Bridge_GROW_016.jpeg,Otsego_Bridge_GROW_015.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_015.jpeg,"duplicate
"
